Date	Time	Movie Name	Release Year
Jun 14, 2021	11:37 PM	The Gentlemen	2020
Jun 15, 2021	11:47 PM	Nobody	2021
Jun 16, 2021	01:40 AM	The Revenant	2016
Jun 16, 2021	11:08 PM	Portrait of a Lady on Fire FRENCH	2019
Jun 18, 2021	12:24 AM	Phantom Thread	2017
Jun 20, 2021	12:57 AM	Black Swan	2010
Jun 28, 2021	11:33 PM	Revolutionary Road	2008
Jun 30, 2021	01:23 AM	Closer	2004
Jun 30, 2021	11:50 PM	Chung King Express CHINESE	1994
Jul 01, 2021	03:36 PM	Tropic Thunder	2008
Jul 01, 2021	10:53 PM	The Usual Suspects	1995
Jul 02, 2021	10:50 PM	Call Me by Your Name	2017
Jul 03, 2021	10:56 PM	Punch-Drunk Love	2002
Jul 04, 2021	12:31 AM	Incendies FRENCH	2010
Jul 04, 2021	10:41 AM	War Dogs	2016
Jul 04, 2021	02:02 PM	Midsommar	2019
Jul 04, 2021	06:21 PM	Maelstrom FRENCH	2000
Jul 04, 2021	11:11 PM	Arrival	2016
Jul 09, 2021	12:20 AM	American Psycho	2000
Jul 10, 2021	05:39 PM	Chaos Walking	2021
Jul 10, 2021	11:03 PM	The Hitmans Bodyguard	2017
Jul 11, 2021	12:58 AM	Oceans Eleven	2001
Jul 11, 2021	07:08 PM	1917	2019
Jul 11, 2021	11:29 PM	10 Things I Hate About You	1999
Jul 17, 2021	12:25 AM	The Truman Show	1998
Jul 18, 2021	01:24 PM	Dont Worry He Wont Get Far On Foot	2018
Jul 28, 2021	11:16 PM	Van Helsing	2004
Jul 30, 2021	11:46 PM	The Big Lebowski	1998
Jul 31, 2021	01:48 PM	V For Vendetta	2005
Aug 01, 2021	01:40 AM	Snowpiercer	2013
Aug 01, 2021	04:44 PM	Three Billboards Outside Ebbing Missouri	2017
Aug 04, 2021	06:53 AM	There Will Be Blood	2007
Aug 04, 2021	11:26 PM	Pirates of the Caribbean Curse of the Black Pearl	2003
Aug 07, 2021	12:05 AM	Green Book	2018
Aug 07, 2021	05:27 PM	The Hangover 2009
Aug 08, 2021	10:17 PM	No Sudden Move	2021
Aug 09, 2021	12:27 AM	The Deer Hunter	1978
Aug 09, 2021	07:08 PM	Polytechnique FRENCH	2009
Aug 09, 2021	11:52 PM	Sicario	2015
Aug 10, 2021	11:59 PM	The Magnificent Ambersons	1942
Aug 11, 2021	11:58 PM	Pirates of the Caribbean Dead Mans Chest	2006
Aug 13, 2021	12:34 AM	Boyhood	2014
Aug 14, 2021	10:00 PM	Touch of Evil	1958
Aug 18, 2021	10:08 PM	Drag Me to Hell	2009
Aug 18, 2021	11:43 PM	Scarface	1983
Aug 20, 2021	11:22 PM	Fast and Furious F9 The Fast Saga	2021
Aug 21, 2021	11:36 AM	Chimes at Midnight	1965
Aug 29, 2021	11:04 AM	Children of Men	2006
Aug 29, 2021	09:10 PM	Gladiator	2000
Sep 02, 2021	11:36 AM	Oceans Twelve	2004
Sep 02, 2021	10:47 PM	Oceans Thirteen	2007
Sep 03, 2021	11:32 PM	Boogie Nights	1997
Sep 04, 2021	03:20 PM	Traffic	2000
Sep 04, 2021	10:57 PM	The Lady from Shanghai	1947
Sep 05, 2021	01:27 PM	Eyes Wide Shut	1999
Sep 08, 2021	12:23 AM	Lost In Translation	2003
Sep 11, 2021	07:25 PM	Shang-Chi and the Legend of the Ten Rings	2021
Sep 12, 2021	11:51 AM	The Departed	2006
Sep 16, 2021	09:23 PM	Enemy	2013
Sep 28, 2021	09:38 PM	Amelie FRENCH	2001
Sep 29, 2021	08:01 PM	Burn After Reading	2008
